Year,Houses,Units,Apartments
1991,362,75,103
1992,316,100,34
1993,272,150,28
1994,270,102,45
1995,255,130,43
1996,189,87,6
1997,136,61,11
1998,96,18,8
1999,179,40,8
2000,135,51,6
2001,132,46,13
2002,174,47,17
2003,281,88,9
2004,295,65,20
2005,336,72,16
2006,345,57,54
2007,329,55,32
2008,219,56,9
2009,217,42,13
2010,247,92,17
2011,172,39,25
2012,250,108,21
2013,275,61,39
2014,289,68,25
2015,278,20,22
2016,366,34,25
2017,359,36,59
2018,356,56,30
2019,334,57,48
2020,304,67,41
2021,320,161,67
2022,227,256,49
