YearToMonth,Lower Quartile,Geometric Mean,Upper Quartile,Auckland,Christchurch,Hamilton,Nelson,New Plymouth,Palmerston North,Tauranga,Wellington,National,Annual increase in mean rental costs,,,,,,
1994-1,116,140,178,189,148,138,149,133,151,152,188,153,,,,,,,
1994-2,115,139,177,190,148,139,150,132,151,152,188,153,,,,,,,
1994-3,114,138,176,192,149,139,150,133,152,153,188,154,,,,,,,
1994-4,114,138,176,193,149,140,151,132,152,153,189,154,,,,,,,
1994-5,115,139,175,195,150,140,150,133,152,154,188,155,,,,,,,
1994-6,116,139,175,196,150,140,151,133,152,155,188,156,,,,,,,
1994-7,115,139,175,197,150,141,151,134,152,156,189,156,,,,,,,
1994-8,117,140,176,198,151,142,152,134,152,156,189,157,,,,,,,
1994-9,117,140,177,200,151,142,152,135,153,157,190,158,,,,,,,
1994-10,117,140,178,201,152,143,152,135,152,158,191,158,,,,,,,
1994-11,116,140,178,203,152,144,153,135,152,158,192,159,,,,,,,
1994-12,116,139,176,205,153,144,152,136,153,159,193,160,,,,,,,
1995-1,116,139,177,207,154,145,152,136,152,160,193,161,0.00,,,,,,
1995-2,116,139,175,209,154,146,152,137,153,161,194,161,0.00,,,,,,
1995-3,117,141,176,212,155,147,152,138,154,162,195,162,0.02,,,,,,
1995-4,118,141,176,214,156,148,153,138,155,162,196,163,0.02,,,,,,
1995-5,118,141,177,216,157,149,154,139,156,163,198,164,0.01,,,,,,
1995-6,118,141,178,219,157,150,155,139,157,164,199,165,0.01,,,,,,
1995-7,119,142,178,221,158,151,155,139,157,165,200,166,0.02,,,,,,
1995-8,119,143,179,223,159,153,156,140,157,166,202,167,0.02,,,,,,
1995-9,120,143,179,226,160,154,156,140,158,167,202,169,0.03,,,,,,
1995-10,119,143,179,228,162,155,156,141,159,168,203,170,0.02,,,,,,
1995-11,120,144,180,231,163,156,156,141,159,169,204,171,0.03,,,,,,
1995-12,120,144,181,233,163,157,157,142,160,170,205,172,0.03,,,,,,
1996-1,120,145,183,236,164,159,157,142,160,171,207,173,0.04,,,,,,
1996-2,120,144,182,238,165,161,159,143,160,172,209,174,0.04,,,,,,
1996-3,119,144,182,241,165,162,159,144,160,173,210,175,0.02,,,,,,
1996-4,119,144,183,244,166,163,159,144,160,174,212,177,0.02,,,,,,
1996-5,119,144,183,246,167,165,160,144,160,175,214,178,0.02,,,,,,
1996-6,119,144,183,248,169,166,159,144,161,176,216,179,0.02,,,,,,
1996-7,118,143,183,250,169,167,160,145,160,176,218,180,0.01,,,,,,
1996-8,118,143,183,252,170,167,160,146,161,177,220,181,0.00,,,,,,
