Year,TotalDwellingsAndersons Bay/Waverley,TotalDwellingsBlueskin Bay,TotalDwellingsCaversham,TotalDwellingsConcord/Corstophine/Kew,TotalDwellingsFairfield,TotalDwellingsGreen Island/Abbotsford,TotalDwellingsHelensburgh/Balmacewen,TotalDwellingsInner City,TotalDwellingsLeith Valley,TotalDwellingsMaori Hill,TotalDwellingsMornington,TotalDwellingsMosgiel,TotalDwellingsMusselburgh/Tainui,TotalDwellingsNorth East Valley,TotalDwellingsOuter Peninsula,TotalDwellingsOutram/Momona,TotalDwellingsPeninsula,TotalDwellingsPine Hill,TotalDwellingsPort Chalmers/Purakaunui,TotalDwellingsRoslyn/Belleknowes,TotalDwellingsSouth Coast,TotalDwellingsSouth Dunedin,TotalDwellingsSt Clair,TotalDwellingsSt Kilda,TotalDwellingsStrath Taieri,TotalDwellingsTaieri,TotalDwellingsThree Mile Hill,TotalDwellingsUniversity,TotalDwellingsWaikouaiti/Karitane,TotalDwellingsWakari,TotalDwellingsWest Harbour,HousesAndersons Bay/Waverley,HousesBlueskin Bay,HousesCaversham,HousesConcord/Corstophine/Kew,HousesFairfield,HousesGreen Island/Abbotsford,HousesHelensburgh/Balmacewen,HousesInner City,HousesLeith Valley,HousesMaori Hill,HousesMornington,HousesMosgiel,HousesMusselburgh/Tainui,HousesNorth East Valley,HousesOuter Peninsula,HousesOutram/Momona,HousesPeninsula,HousesPine Hill,HousesPort Chalmers/Purakaunui,HousesRoslyn/Belleknowes,HousesSouth Coast,HousesSouth Dunedin,HousesSt Clair,HousesSt Kilda,HousesStrath Taieri,HousesTaieri,HousesThree Mile Hill,HousesUniversity,HousesWaikouaiti/Karitane,HousesWakari,HousesWest Harbour,UnitsAndersons Bay/Waverley,UnitsBlueskin Bay,UnitsCaversham,UnitsConcord/Corstophine/Kew,UnitsFairfield,UnitsGreen Island/Abbotsford,UnitsHelensburgh/Balmacewen,UnitsInner City,UnitsLeith Valley,UnitsMaori Hill,UnitsMornington,UnitsMosgiel,UnitsMusselburgh/Tainui,UnitsNorth East Valley,UnitsOuter Peninsula,UnitsOutram/Momona,UnitsPeninsula,UnitsPine Hill,UnitsPort Chalmers/Purakaunui,UnitsRoslyn/Belleknowes,UnitsSouth Coast,UnitsSouth Dunedin,UnitsSt Clair,UnitsSt Kilda,UnitsStrath Taieri,UnitsTaieri,UnitsThree Mile Hill,UnitsUniversity,UnitsWaikouaiti/Karitane,UnitsWakari,UnitsWest Harbour,ApartmentsAndersons Bay/Waverley,ApartmentsBlueskin Bay,ApartmentsCaversham,ApartmentsConcord/Corstophine/Kew,ApartmentsFairfield,ApartmentsGreen Island/Abbotsford,ApartmentsHelensburgh/Balmacewen,ApartmentsInner City,ApartmentsLeith Valley,ApartmentsMaori Hill,ApartmentsMornington,ApartmentsMosgiel,ApartmentsMusselburgh/Tainui,ApartmentsNorth East Valley,ApartmentsOuter Peninsula,ApartmentsOutram/Momona,ApartmentsPeninsula,ApartmentsPine Hill,ApartmentsPort Chalmers/Purakaunui,ApartmentsRoslyn/Belleknowes,ApartmentsSouth Coast,ApartmentsSouth Dunedin,ApartmentsSt Clair,ApartmentsSt Kilda,ApartmentsStrath Taieri,ApartmentsTaieri,ApartmentsThree Mile Hill,ApartmentsUniversity,ApartmentsWaikouaiti/Karitane,ApartmentsWakari,ApartmentsWest Harbour,Retirement Village UnitsAndersons Bay/Waverley,Retirement Village UnitsBlueskin Bay,Retirement Village UnitsCaversham,Retirement Village UnitsConcord/Corstophine/Kew,Retirement Village UnitsFairfield,Retirement Village UnitsGreen Island/Abbotsford,Retirement Village UnitsHelensburgh/Balmacewen,Retirement Village UnitsInner City,Retirement Village UnitsLeith Valley,Retirement Village UnitsMaori Hill,Retirement Village UnitsMornington,Retirement Village UnitsMosgiel,Retirement Village UnitsMusselburgh/Tainui,Retirement Village UnitsNorth East Valley,Retirement Village UnitsOuter Peninsula,Retirement Village UnitsOutram/Momona,Retirement Village UnitsPeninsula,Retirement Village UnitsPine Hill,Retirement Village UnitsPort Chalmers/Purakaunui,Retirement Village UnitsRoslyn/Belleknowes,Retirement Village UnitsSouth Coast,Retirement Village UnitsSouth Dunedin,Retirement Village UnitsSt Clair,Retirement Village UnitsSt Kilda,Retirement Village UnitsStrath Taieri,Retirement Village UnitsTaieri,Retirement Village UnitsThree Mile Hill,Retirement Village UnitsUniversity,Retirement Village UnitsWaikouaiti/Karitane,Retirement Village UnitsWakari,Retirement Village UnitsWest Harbour,ConstructionValueAndersons Bay/Waverley,ConstructionValueBlueskin Bay,ConstructionValueCaversham,ConstructionValueConcord/Corstophine/Kew,ConstructionValueFairfield,ConstructionValueGreen Island/Abbotsford,ConstructionValueHelensburgh/Balmacewen,ConstructionValueInner City,ConstructionValueLeith Valley,ConstructionValueMaori Hill,ConstructionValueMornington,ConstructionValueMosgiel,ConstructionValueMusselburgh/Tainui,ConstructionValueNorth East Valley,ConstructionValueOuter Peninsula,ConstructionValueOutram/Momona,ConstructionValuePeninsula,ConstructionValuePine Hill,ConstructionValuePort Chalmers/Purakaunui,ConstructionValueRoslyn/Belleknowes,ConstructionValueSouth Coast,ConstructionValueSouth Dunedin,ConstructionValueSt Clair,ConstructionValueSt Kilda,ConstructionValueStrath Taieri,ConstructionValueTaieri,ConstructionValueThree Mile Hill,ConstructionValueUniversity,ConstructionValueWaikouaiti/Karitane,ConstructionValueWakari,ConstructionValueWest Harbour,TotalDwellingsDunedin City Total,HousesDunedin City Total,UnitsDunedin City Total,ApartmentsDunedin City Total,Retirement Village UnitsDunedin City Total,ConstructionValueDunedin City Total,
1997,4,4,0,0,7,5,1,16,4,2,5,58,3,5,4,8,3,3,4,2,12,7,7,3,0,10,12,10,6,1,2,4,4,0,0,7,5,1,2,4,1,1,24,1,5,4,8,3,3,4,2,12,2,7,1,0,10,12,0,6,1,2,0,0,0,0,0,0,0,3,0,1,4,10,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157815,891432,509165,327788,1296028,1325476,228985,21093028,1111428,2869774,1478285,7344817,862379,2178334,1098758,2703832,1304498,1001855,2687121,1124423,2091870,6810568,1448593,659845,206875,2760670,2781846,5205297,1539767,475210,1183701,208,136,37,11,24,78759463,
1998,3,10,0,3,1,4,1,15,2,1,3,11,0,1,5,6,9,2,9,0,5,0,6,1,1,5,4,10,3,0,1,3,9,0,3,1,4,1,2,2,1,3,9,0,1,5,6,9,2,9,0,5,0,5,1,0,5,4,2,3,0,1,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3169467,1759334,241260,800486,1144185,911450,478000,18973509,574885,3592887,1595100,5044619,971697,1300150,833455,1793253,1607195,501752,1199936,817741,1154510,8441375,1383689,301010,630547,1727631,1442660,42605320,2196250,301177,350867,122,96,18,8,0,107845397,
1999,5,8,2,3,3,6,4,43,4,3,5,50,1,3,4,8,9,2,4,2,7,2,4,2,0,8,5,22,3,0,5,5,8,1,2,3,6,3,28,4,3,5,44,1,3,4,8,9,1,3,2,7,2,4,1,0,7,5,4,2,0,4,0,0,1,1,0,0,1,7,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,18,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730122,1555991,872407,346200,4079995,1123540,925050,21775601,970009,13784304,1146222,10135484,783650,1389165,853950,2851475,2270250,301856,602300,1307541,5120810,1955725,1639875,325900,535633,2316435,3553928,18712603,569590,306000,1086903,227,179,40,8,0,104928514,
2000,11,6,3,1,8,5,1,18,3,5,2,25,3,3,8,7,9,2,0,1,8,1,10,1,0,20,3,20,2,2,4,11,6,0,1,8,5,1,1,3,5,2,25,1,3,7,7,9,2,0,1,7,0,7,1,0,9,3,4,2,0,4,0,0,3,0,0,0,0,11,0,0,0,0,2,0,1,0,0,0,0,0,1,1,3,0,0,11,0,16,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106650,1991683,1061294,358152,1539337,1249851,487994,25476462,875500,2272700,855093,7971570,793991,1343387,1563989,2470983,1846920,747363,504245,1067850,2203537,3077745,1950565,666514,154300,3634519,9755496,18189397,659440,172650,1268288,192,135,51,6,0,99317465,
2001,9,4,1,2,5,6,0,31,3,2,3,17,3,2,4,17,5,0,2,3,17,2,3,4,1,11,3,23,3,1,4,9,4,0,2,5,6,0,4,3,2,3,12,1,2,4,17,5,0,2,3,17,1,3,3,1,11,3,2,3,1,3,0,0,1,0,0,0,0,16,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2779169,1268225,1122127,973300,1429677,1612750,402200,24123631,834900,1422271,1321758,8894418,745349,3520149,1029750,4505823,1358650,220478,2889164,3107333,2921808,6584965,2929150,862650,549458,2719461,1281011,9509644,2760218,480141,1170905,191,132,46,13,0,95330533,
2002,6,6,1,2,17,6,1,25,5,4,2,38,0,1,9,17,5,0,3,2,9,12,4,9,0,29,3,12,5,2,3,6,5,1,2,17,6,1,3,4,4,2,36,0,1,9,17,5,0,3,2,9,0,4,9,0,10,3,8,4,0,3,0,1,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,4,1,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622255,1123400,1032499,544538,3659174,1868096,391280,16173069,1433000,3581326,1000383,7984350,560009,7048398,1874183,6222061,1925848,300017,2537217,1208650,2239848,3756679,1884049,2123170,202560,4976935,1706284,15989095,1791300,616000,2335502,238,174,47,17,0,100711175,
2003,9,14,6,7,23,9,3,22,8,6,6,54,1,9,7,30,12,4,5,1,23,2,9,12,1,19,7,54,7,2,6,9,12,2,7,23,9,3,4,8,6,6,36,1,7,7,29,12,3,5,1,23,2,7,12,1,19,7,7,6,2,5,0,2,4,0,0,0,0,12,0,0,0,18,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,44,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5099550,3596074,3635436,1472421,5928315,3309703,1358883,40031607,2064590,3895764,2090504,14015955,635547,3602721,1990786,8699108,3338094,854100,4051376,3606198,5417803,3096195,8346910,1778920,702402,6685052,10414334,22164769,2280654,2336663,2483307,378,281,88,9,0,178983741,
2004,18,11,5,5,25,9,8,31,14,3,8,56,7,8,8,33,13,4,9,3,22,2,6,9,0,22,2,18,13,1,7,16,10,4,5,25,7,8,3,12,3,8,35,3,5,8,33,12,4,8,3,22,2,6,3,0,22,2,7,13,1,5,2,1,1,0,0,2,0,11,2,0,0,18,4,3,0,0,1,0,1,0,0,0,0,6,0,0,0,11,0,0,2,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6391549,3352863,944197,1532060,6699904,2691373,2812300,38378865,3892800,6105899,2545365,18269444,1277799,3358298,2360875,13909640,5087879,1836738,2899170,1904300,6650544,3120599,2975500,4173700,532479,9051446,4537117,11657116,3241196,634275,2565495,380,295,65,20,0,175390785,
2005,17,14,10,18,38,11,5,18,3,9,5,62,4,15,6,31,12,2,8,2,38,6,1,3,1,30,8,24,16,0,7,17,14,4,18,34,6,5,2,1,9,5,46,1,9,6,31,12,2,7,2,38,4,1,1,1,28,8,3,15,0,6,0,0,6,0,4,5,0,14,2,0,0,10,3,0,0,0,0,0,1,0,0,2,0,2,0,2,0,19,1,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6883801,4888260,2057224,4673199,9210050,3461329,3314300,27898790,1326200,8801880,2296798,14379596,2674199,3755936,1702820,21219942,7138160,673037,3610840,3225699,9870880,13024495,1707926,4210980,788000,9111439,4148287,19907381,4074900,1289590,2639150,424,336,72,16,0,203965088,
2006,17,17,6,16,27,10,7,67,6,3,4,49,2,3,10,25,11,2,10,4,29,11,7,20,4,46,10,11,14,3,5,15,15,5,16,27,10,3,5,3,3,4,39,0,3,10,24,11,2,10,2,29,9,7,10,3,45,9,6,14,1,5,2,0,1,0,0,0,4,10,3,0,0,10,2,0,0,1,0,0,0,2,0,2,0,10,1,1,1,5,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7882536,5693348,1338550,5375031,8251298,4785064,7095099,30187501,1729200,5873072,3416593,12857248,1895930,4853439,3263850,9440100,5943400,1203500,5581400,2803094,9322191,5487369,5107849,3570159,5726800,17967350,5760999,8937666,5328782,1400280,2873021,456,345,55,54,2,200951719,
